PhyloID,TreeOrd,GroupA,GroupB,MeanCentroidSize
Caracal_caracal,204,Car,Fel,101.08617
Caracal_aurata,205,Car,Fel,105.4383
Leptailurus_serval,206,Car,Fel,56.23903
Myrmecobius_fasciatus,207,Das,Das,57.71359
Murexia_melanurus,208,Das,Das,24.12252
Murexia_naso,209,Das,Das,28.68426
Murexia_longicaudata,210,Das,Das,36.66149
Murexia_rothschildi,211,Das,Das,42.44082
Phascogale_calura,212,Das,Das,28.91953
Antechinus_leo,213,Das,Das,30.46458
Antechinus_flavipes,214,Das,Das,25.4328
Antechinus_godmani,215,Das,Das,29.51396
Antechinus_swainsonii,216,Das,Das,24.45509
Antechinus_stuartii,217,Das,Das,26.57544
Thylacinus_cynocephalus,218,Das,Das,157.31185
Phascolosorex_dorsalis,219,Das,Das,33.82368
Phascolosorex_doriae,220,Das,Das,46.42103
Neophascogale_lorentzii,221,Das,Das,47.02815
Dasyurus_hallucatus,222,Das,Das,62.83782
Sarcophilus_harrisii,223,Das,Das,96.21082
Dasyurus_maculatus,224,Das,Das,85.00508
Dasyurus_viverrinus,225,Das,Das,77.063
Dasyurus_geoffroii,226,Das,Das,64.88872
Dasyurus_albopunctatus,227,Das,Das,39.12826
Dasyuroides_byrnei,228,Das,Das,31.50561
Dasycercus_cristicauda,229,Das,Das,22.91566
Pseudantechinus_ningbing,230,Das,Das,25.39452
Myoictis_melas,231,Das,Das,46.39325
Pseudantechinus_macdonnellensis,232,Das,Das,23.99831
Sminthopsis_crassicaudata,233,Das,Das,22.77576
Sminthopsis_virginiae,234,Das,Das,26.11177
Sminthopsis_macroura,235,Das,Das,23.36198
Antechinomys_laniger,236,Das,Das,26.03453
Sminthopsis_butleri,237,Das,Das,20.3868
Sminthopsis_gilberti,238,Das,Das,22.62256
Sminthopsis_griseoventer,239,Das,Das,22.24158
